frame,oid,cid,x,y
190,2,1,0.0158,0.0086
191,2,1,0.0158,0.0086
192,2,1,0.0159,0.0087
193,2,1,0.0159,0.0087
194,2,1,0.0159,0.0087
195,2,1,0.0159,0.0087
196,2,1,0.0159,0.0087
197,2,1,0.0159,0.0087
198,2,1,0.0159,0.0087
199,2,1,0.0159,0.0087
0,2,2,0.0307,0.0103
1,2,2,0.0307,0.01
2,2,2,0.0307,0.0096
3,2,2,0.0307,0.0093
4,2,2,0.0307,0.0089
5,2,2,1.757,0.0
6,2,2,0.3144,0.0
7,2,2,0.1802,0.0
8,2,2,0.1303,0.0
9,2,2,0.1046,0.0
10,2,2,0.0891,0.0
11,2,2,0.079,0.0
12,2,2,0.072,0.0
13,2,2,0.0671,0.0
14,2,2,0.0636,0.0
15,2,2,0.0612,0.0
16,2,2,0.0596,0.0
17,2,2,0.0587,0.0
18,2,2,0.0585,0.0
19,2,2,0.0589,0.0
20,2,2,0.0599,0.0
21,2,2,0.0617,0.0
22,2,2,0.0643,0.0
23,2,2,0.0681,0.0
24,2,2,0.0735,0.0
25,2,2,0.081,0.0
26,2,2,0.0921,0.0
27,2,2,0.1094,0.0
28,2,2,0.1389,0.0
29,2,2,0.1993,0.0
30,2,2,0.3856,0.0
31,2,2,0.0307,0.0086
32,2,2,0.0307,0.009
33,2,2,0.0307,0.0094
34,2,2,0.0307,0.0097
35,2,2,0.0307,0.0101
36,2,2,0.0307,0.0104
37,2,2,0.0307,0.0107
38,2,2,0.0307,0.0109
39,2,2,0.0307,0.0111
40,2,2,0.0307,0.0113
41,2,2,0.0307,0.0115
42,2,2,0.0307,0.0116
43,2,2,0.0307,0.0117
44,2,2,0.0307,0.0117
45,2,2,0.0307,0.0117
46,2,2,0.0307,0.0116
47,2,2,0.0307,0.0115
48,2,2,0.0307,0.0114
49,2,2,0.0307,0.0112
50,2,2,0.0307,0.011
51,2,2,0.0307,0.0107
52,2,2,0.0307,0.0104
53,2,2,0.0307,0.0101
54,2,2,0.0307,0.0098
55,2,2,0.0307,0.0094
56,2,2,0.0307,0.0091
57,2,2,0.0307,0.0087
58,2,2,0.4408,0.0
59,2,2,0.2117,0.0
60,2,2,0.1442,0.0
61,2,2,0.1122,0.0
62,2,2,0.0939,0.0
63,2,2,0.0822,0.0
64,2,2,0.0743,0.0
65,2,2,0.0687,0.0
66,2,2,0.0648,0.0
67,2,2,0.062,0.0
68,2,2,0.0601,0.0
69,2,2,0.059,0.0
70,2,2,0.0585,0.0
71,2,2,0.0587,0.0
72,2,2,0.0595,0.0
73,2,2,0.061,0.0
74,2,2,0.0633,0.0
75,2,2,0.0666,0.0
76,2,2,0.0713,0.0
77,2,2,0.078,0.0
78,2,2,0.0876,0.0
79,2,2,0.1022,0.0
80,2,2,0.1261,0.0
81,2,2,0.1715,0.0
82,2,2,0.2862,0.0
83,2,2,1.0944,0.0
84,2,2,0.0307,0.0089
85,2,2,0.0307,0.0092
86,2,2,0.0307,0.0096
87,2,2,0.0307,0.0099
88,2,2,0.0307,0.0103
89,2,2,0.0307,0.0106
90,2,2,0.0307,0.0108
91,2,2,0.0307,0.0111
92,2,2,0.0307,0.0113
93,2,2,0.0307,0.0114
94,2,2,0.0307,0.0116
95,2,2,0.0307,0.0117
96,2,2,0.0307,0.0117
97,2,2,0.0307,0.0117
98,2,2,0.0307,0.0116
99,2,2,0.0307,0.0116
100,2,2,0.0307,0.0114
101,2,2,0.0307,0.0112
102,2,2,0.0307,0.011
103,2,2,0.0307,0.0108
104,2,2,0.0307,0.0105
105,2,2,0.0307,0.0102
106,2,2,0.0307,0.0099
